date,hour,load_factor
3/18/2017,0,0.67677
1/18/2017,1,0.53322
7/7/2017,18,0.75073
6/17/2017,4,0.61787
6/2/2017,9,0.58899
4/6/2017,6,0.51257
3/11/2017,23,0.81396
3/1/2017,8,0.57093
10/16/2017,0,0.62600
1/22/2017,16,0.67191
1/21/2017,8,0.51986
3/5/2017,23,0.79385
5/30/2017,6,0.45646
6/8/2017,19,0.99900
12/11/2017,23,0.75062
1/19/2017,2,0.50385
5/16/2017,17,0.71092
10/14/2017,9,0.70602
5/31/2017,11,0.66687
11/3/2017,15,0.76021
7/9/2017,21,0.99269
1/5/2017,10,0.68309
4/19/2017,23,0.72714
10/16/2017,12,0.77483
8/21/2017,6,0.46807
7/9/2017,16,0.71707
4/17/2017,3,0.54053
5/27/2017,23,0.87073
8/18/2017,18,0.77147
3/11/2017,18,0.87449
3/5/2017,7,0.43519
9/17/2017,8,0.55879
3/8/2017,0,0.65344
9/3/2017,1,0.73578
8/23/2017,19,0.98312
6/30/2017,13,0.76058
1/30/2017,15,0.74655
11/10/2017,15,0.78236
3/27/2017,5,0.54879
9/16/2017,9,0.69257
2/23/2017,19,0.99769
7/20/2017,3,0.60895
9/4/2017,21,0.98794
5/12/2017,6,0.52712
2/17/2017,11,0.76965
2/1/2017,6,0.56566
6/5/2017,13,0.70472
7/17/2017,13,0.81120
2/24/2017,11,0.73553
6/8/2017,22,0.97132
3/10/2017,22,0.89528
9/17/2017,11,0.71970
7/9/2017,18,0.71895
11/6/2017,12,0.74841
9/7/2017,1,0.64540
4/22/2017,0,0.65169
9/10/2017,17,0.70803
8/31/2017,12,0.74326
5/24/2017,0,0.66912
7/2/2017,6,0.46086
2/18/2017,17,0.73670
4/27/2017,19,0.97356
6/17/2017,2,0.88496
4/22/2017,13,0.81360
11/12/2017,13,0.79488
9/17/2017,0,0.70040
7/4/2017,6,0.46694
5/30/2017,22,0.94939
8/10/2017,9,0.67608
2/8/2017,4,0.53322
6/6/2017,8,0.53663
1/22/2017,21,0.97584
8/4/2017,8,0.62590
10/1/2017,20,0.99711
7/2/2017,18,0.72105
2/15/2017,4,0.52230
5/25/2017,0,0.66744
8/3/2017,19,0.90949
5/26/2017,3,0.56924
12/7/2017,19,0.99027
9/28/2017,2,0.58908
11/10/2017,5,0.58026
4/8/2017,12,0.78340
6/30/2017,19,0.84359
4/6/2017,7,0.55147
6/18/2017,8,0.48456
6/29/2017,8,0.53159
10/20/2017,11,0.77367
9/30/2017,15,0.71891
9/5/2017,2,0.61593
5/30/2017,17,0.77249
4/5/2017,10,0.71615
12/14/2017,20,0.99095
12/3/2017,21,0.95558
3/4/2017,1,0.58494
2/2/2017,3,0.53580
3/16/2017,20,0.99900
4/15/2017,8,0.60313
4/20/2017,5,0.50573
10/16/2017,4,0.57569
2/13/2017,8,0.56384
9/20/2017,16,0.73295
9/18/2017,12,0.77149
11/16/2017,12,0.81741
6/21/2017,15,0.78879
1/8/2017,20,0.99399
3/20/2017,4,0.51944
7/2/2017,3,0.62929
8/21/2017,5,0.50429
3/18/2017,3,0.53264
7/20/2017,8,0.62107
10/24/2017,19,0.99634
4/18/2017,23,0.73853
11/6/2017,17,0.87490
1/3/2017,5,0.51359
6/29/2017,19,0.84877
12/8/2017,17,0.92640
5/2/2017,23,0.74549
12/13/2017,13,0.75690
3/14/2017,15,0.72193
7/23/2017,17,0.71046
12/26/2017,1,0.57350
5/16/2017,18,0.74090
12/26/2017,22,0.84680
9/13/2017,6,0.52798
4/21/2017,6,0.52608
1/1/2017,9,0.53913
8/10/2017,6,0.46663
11/30/2017,13,0.77841
1/14/2017,7,0.52076
3/18/2017,8,0.54849
9/5/2017,19,0.99900
7/29/2017,22,0.90777
6/13/2017,11,0.70362
2/9/2017,13,0.77066
6/14/2017,10,0.65115
2/23/2017,18,0.94223
2/28/2017,11,0.74100
11/28/2017,18,0.99900
2/17/2017,5,0.55824
3/27/2017,20,0.98961
3/29/2017,15,0.72280
11/21/2017,11,0.73219
4/23/2017,17,0.70995
6/30/2017,22,0.96201
10/16/2017,20,0.97150
5/25/2017,14,0.73959
5/18/2017,7,0.55454
8/1/2017,19,0.90791
9/30/2017,9,0.67451
9/12/2017,22,0.88139
10/27/2017,1,0.59276
12/20/2017,7,0.53616
11/5/2017,5,0.59605
3/24/2017,14,0.75177
6/19/2017,5,0.49896
6/3/2017,9,0.58194
2/13/2017,17,0.76636
8/19/2017,19,0.97526
1/15/2017,8,0.46536
6/7/2017,2,0.86341
5/31/2017,8,0.53867
1/5/2017,21,0.94727
2/18/2017,11,0.76251
2/10/2017,4,0.52299
6/6/2017,6,0.47066
2/16/2017,0,0.64131
1/22/2017,10,0.62422
8/14/2017,13,0.78977
2/18/2017,8,0.54102
12/17/2017,23,0.76537
6/12/2017,11,0.69011
7/10/2017,2,0.61659
11/28/2017,9,0.65509
5/27/2017,6,0.44122
4/1/2017,7,0.52381
11/19/2017,16,0.70264
6/15/2017,21,0.97596
11/19/2017,21,0.95560
10/5/2017,21,0.90959
5/10/2017,23,0.75087
3/6/2017,9,0.64273
3/8/2017,4,0.53133
10/22/2017,6,0.48572
8/30/2017,20,0.99534
10/17/2017,3,0.55761
10/8/2017,15,0.70544
11/15/2017,19,0.97732
2/6/2017,23,0.79163
3/9/2017,4,0.52864
2/11/2017,9,0.58748
10/2/2017,20,0.98243
8/20/2017,15,0.73976
3/16/2017,14,0.80732
6/19/2017,17,0.78745
5/11/2017,19,0.93858
5/10/2017,20,0.99900
11/3/2017,6,0.52571
4/6/2017,16,0.70784
12/30/2017,15,0.74131
5/6/2017,6,0.48441
7/10/2017,3,0.59997
11/12/2017,19,0.99900
6/20/2017,12,0.75253
2/21/2017,11,0.76291
10/30/2017,12,0.77226
3/8/2017,20,0.99771
2/4/2017,12,0.76870
1/11/2017,1,0.58142
3/5/2017,16,0.67579
6/11/2017,8,0.46189
4/24/2017,12,0.78532
10/5/2017,10,0.73962
11/28/2017,12,0.75679
11/25/2017,14,0.77837
5/26/2017,22,0.95614
10/1/2017,18,0.93898
2/10/2017,0,0.67263
4/23/2017,9,0.60687
9/16/2017,17,0.74182
1/2/2017,11,0.69572
9/24/2017,12,0.75034
7/1/2017,1,0.67542
11/7/2017,14,0.75127
7/14/2017,17,0.74043
10/16/2017,18,0.99209
11/29/2017,5,0.53718
4/16/2017,16,0.67171
5/10/2017,15,0.75285
7/22/2017,13,0.77626
5/29/2017,14,0.76731
2/9/2017,22,0.91237
2/11/2017,14,0.76328
8/3/2017,2,0.58450
2/9/2017,0,0.68262
2/4/2017,5,0.55534
11/22/2017,11,0.72071
12/10/2017,6,0.54691
4/18/2017,11,0.78146
2/8/2017,19,0.99686
12/13/2017,16,0.75169
2/24/2017,16,0.70734
5/7/2017,20,0.99775
2/16/2017,18,0.97019
2/16/2017,9,0.66203
6/10/2017,13,0.73448
10/3/2017,15,0.74428
3/23/2017,20,0.99801
6/18/2017,1,0.89764
1/28/2017,3,0.53938
2/25/2017,23,0.81884
10/14/2017,4,0.58525
8/4/2017,23,0.82934
6/28/2017,0,0.79933
5/20/2017,10,0.74391
8/3/2017,11,0.78970
6/12/2017,22,0.96303
7/1/2017,7,0.46570
9/28/2017,4,0.59495
3/31/2017,8,0.62369
7/24/2017,19,0.89194
11/9/2017,3,0.54042
8/4/2017,20,0.99900
2/19/2017,12,0.72973
1/7/2017,8,0.55007
11/9/2017,20,0.97550
3/10/2017,6,0.51135
2/20/2017,0,0.62991
5/26/2017,12,0.74959
12/12/2017,8,0.57233
12/21/2017,17,0.92756
4/1/2017,10,0.74359
8/27/2017,6,0.46513
2/16/2017,23,0.76523
6/16/2017,18,0.84096
9/10/2017,6,0.45699
7/14/2017,13,0.78635
4/18/2017,16,0.72534
10/27/2017,3,0.56039
