"observation","x","map_component","component_1","component_2","component_3"
1,0.67677,2,0.313329079360886,0.583975027661328,0.102695892977786
2,0.53322,1,0.985153274402263,3.90063048359758e-06,0.0148428249672537
3,0.75073,2,0.00142877303222231,0.949689274895508,0.0488819520722699
4,0.61787,1,0.950988963753102,0.0104696524656852,0.0385413837812128
5,0.58899,1,0.977304613652993,0.000757872828169077,0.0219375135188378
6,0.51257,1,0.983784082961582,5.3398215997494e-07,0.0162153830562581
7,0.81396,2,1.45496992142047e-05,0.689578445688972,0.310407004611814
8,0.57093,1,0.982398475647855,0.00014050971180356,0.0174610146403418
9,0.626,1,0.931751911932872,0.0213544170920633,0.0468936709750646
10,0.67191,2,0.399687727738154,0.495088419649565,0.105223852612281
11,0.51986,1,0.984503962445498,1.07915650083935e-06,0.0154949583980009
12,0.79385,2,6.47193494611268e-05,0.868584541142179,0.13135073950836
13,0.45646,1,0.961544926772686,2.28116379579323e-09,0.0384550709461504
14,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
15,0.75062,2,0.00144047098539181,0.949717084824497,0.0488424441901116
16,0.50385,1,0.982526975728017,2.29726409749011e-07,0.017472794545573
17,0.71092,2,0.0294918645730433,0.910758569198965,0.0597495662279916
18,0.70602,2,0.0428666034758126,0.892386462484427,0.0647469340397607
19,0.66687,1,0.494822382307683,0.400408569288424,0.104769048403894
20,0.76021,2,0.000711708114750255,0.945184465061183,0.0541038268240663
21,0.99269,3,2.20405952297253e-42,2.31023599843232e-32,1
22,0.68309,2,0.217221437057779,0.686778662217428,0.0959999007247936
23,0.72714,2,0.00847875251150152,0.942226912933084,0.0492943345554143
24,0.77483,2,0.000248342010632562,0.927892568897624,0.0718590890917434
25,0.46807,1,0.970117246509558,7.09243057291648e-09,0.0298827463980115
26,0.71707,2,0.0183851679098287,0.926893363650284,0.0547214684398874
27,0.54053,1,0.985169811745257,7.85668067849973e-06,0.0148223315740642
28,0.87073,3,5.97733487292695e-09,0.00724076683282687,0.992759227189838
29,0.77147,2,0.000315641775905678,0.933294925410223,0.0663894328138719
30,0.87449,3,2.81975709582382e-09,0.00414790715220759,0.995852090028035
31,0.43519,1,0.933085431314512,2.81589866178465e-10,0.0669145684038986
32,0.55879,1,0.984130567171872,4.46890717819188e-05,0.0158247437563465
33,0.65344,1,0.724260646661129,0.186046055471123,0.0896932978677485
34,0.73578,2,0.00438641891914538,0.948441524525938,0.0471720565549161
35,0.98312,3,1.37815588127535e-32,2.00850165675377e-23,1
36,0.76058,2,0.000692772799116112,0.944918282680981,0.0543889445199028
37,0.74655,2,0.00194983157414189,0.950370663197445,0.047679505228413
38,0.78236,2,0.000145626967181353,0.911399251581063,0.0884551214517558
39,0.54879,1,0.984900569016568,1.72838662448266e-05,0.0150821471171872
40,0.69257,2,0.115552656722591,0.801935911145465,0.0825114321319442
41,0.99769,3,7.98728192506773e-56,8.75443327142185e-45,1
42,0.60895,1,0.963689170372233,0.00471074765446302,0.0316000819733041
43,0.98794,3,1.58471319462079e-36,5.29048514680596e-27,1
44,0.52712,1,0.984958469848131,2.17106341275459e-06,0.0150393590884567
45,0.76965,2,0.000359604617999956,0.935815110275029,0.0638252851069711
46,0.56566,1,0.983273901970321,8.55508646018655e-05,0.0166405471650766
47,0.70472,2,0.0473053291380146,0.886474116050328,0.0662205548116578
48,0.8112,2,1.81117407867915e-05,0.725699172973594,0.274282715285619
49,0.73553,2,0.00447043607412531,0.948327502984502,0.0472020609413726
50,0.97132,3,2.27770536788552e-26,8.09447169764494e-18,1
51,0.89528,3,2.61711684254098e-11,0.000108333863205533,0.999891666110623
52,0.7197,2,0.0150163068211898,0.932004166212545,0.0529795269662648
53,0.71895,2,0.0159085236848283,0.930639381849414,0.0534520944657572
54,0.74841,2,0.00169743343668396,0.950162513615928,0.0481400529473881
55,0.6454,1,0.819401503860533,0.104746929981085,0.0758515661583818
56,0.65169,1,0.748022386022917,0.165194065947562,0.0867835480295212
57,0.70803,2,0.0367858350532925,0.900624367490721,0.0625897974559868
58,0.74326,2,0.0024942456439313,0.950362626884395,0.0471431274716733
59,0.66912,1,0.452089187179571,0.442534416632801,0.105376396187627
60,0.46086,1,0.965202806167317,3.50789177441427e-09,0.0347971903247909
61,0.7367,2,0.00409083362762594,0.948831502861299,0.0470776635110751
62,0.97356,3,2.53036420422952e-27,1.1256957966622e-18,1
63,0.88496,3,3.00654618030527e-10,0.000749839996186781,0.999250159703159
64,0.8136,2,1.49776151556347e-05,0.694535696031624,0.305449326353221
65,0.79488,2,6.01609346030723e-05,0.863264622206541,0.136675216858856
66,0.7004,2,0.0654267766572005,0.863032473654053,0.071540749688746
67,0.46694,1,0.969424885204986,6.35202721862773e-09,0.0305751084429866
68,0.94939,3,1.03355561831637e-19,6.94694937883198e-12,0.999999999993053
69,0.67608,2,0.32504618987231,0.571738170356238,0.103215639771451
70,0.53322,1,0.985153274402263,3.90063048359758e-06,0.0148428249672537
71,0.53663,1,0.985190286127121,5.40895670305509e-06,0.0148043049161756
72,0.97584,3,2.21296453434682e-28,1.25865388328651e-19,1
73,0.6259,1,0.932052063079958,0.021170409072243,0.0467775278477994
74,0.99711,3,3.25584110373451e-53,2.30958870285037e-42,1
75,0.72105,2,0.0135348354773684,0.934288434531469,0.0521767299911625
76,0.5223,1,0.984684650039405,1.36521369303924e-06,0.0153139847469015
77,0.66744,1,0.483998371962795,0.411017154940027,0.104984473097178
78,0.90949,3,5.70080597242706e-13,4.69326216465136e-06,0.999995306737265
79,0.56924,1,0.982702127625011,0.000119864376081144,0.0171780079989075
80,0.99027,3,4.86719722381963e-39,2.68680703708279e-29,1
81,0.58908,1,0.977267917195027,0.000764213860231812,0.0219678689447416
82,0.58026,1,0.980256471747125,0.000336644571178151,0.0194068836816972
83,0.7834,2,0.000135317201524181,0.90853590648673,0.0913287763117455
84,0.84359,3,6.05673487088619e-07,0.16485075409731,0.835148640229202
85,0.55147,1,0.984744416198275,2.23064151131903e-05,0.0152332773866123
86,0.48456,1,0.977708046953995,3.53384364355518e-08,0.0222919177075687
87,0.53159,1,0.985117467555636,3.33578569156428e-06,0.0148791966586721
88,0.77367,2,0.000269741592355841,0.929874822481948,0.0698554359256957
89,0.71891,2,0.0159575729272442,0.930564591133104,0.0534778359396522
90,0.61593,1,0.954337107555555,0.00881142999199941,0.0368514624524451
91,0.77249,2,0.000293444071066673,0.931762415925413,0.0679441400035201
92,0.71615,2,0.0197339031720639,0.924878622188897,0.0553874746390389
93,0.99095,3,6.91448741164266e-40,4.50350675689961e-30,1
94,0.95558,3,3.07523641617319e-21,3.08696109224347e-13,0.999999999999691
95,0.58494,1,0.978813518037112,0.000520525573184909,0.0206659563897026
96,0.5358,1,0.98518598958563,4.99544640681068e-06,0.0148090149679632
97,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
98,0.60313,1,0.969146285837102,0.00277858379392026,0.0280751303689774
99,0.50573,1,0.982838134054933,2.75585691426594e-07,0.0171615903593754
100,0.57569,1,0.981412492787905,0.000219604796338986,0.0183679024157557
101,0.56384,1,0.983530055428115,7.20493796844717e-05,0.0163978951922002
102,0.73295,2,0.0054392879933851,0.946940347976039,0.047620364030576
103,0.77149,2,0.000315190447165591,0.933265729372998,0.0664190801798366
104,0.81741,2,1.09388256548654e-05,0.638319877151942,0.361669184022403
105,0.78879,2,9.25286264566784e-05,0.890775370238745,0.109132101134798
106,0.99399,3,1.1357110597222e-44,1.81625821361632e-34,1
107,0.51944,1,0.98446991670285,1.03633189205545e-06,0.0155290469652575
108,0.62929,1,0.920752429156951,0.0283345825528983,0.0509129882901504
109,0.50429,1,0.982601904269262,2.39725508489606e-07,0.0173978560052298
110,0.53264,1,0.985141880184598,3.68948804040731e-06,0.014854430327362
111,0.62107,1,0.944537208670296,0.0138887978804835,0.0415739934492203
112,0.99634,3,1.84789535051655e-50,8.21107248092827e-40,1
113,0.73853,2,0.00356172397243676,0.949473283465136,0.046964992562427
114,0.8749,3,2.59374427273313e-09,0.0038964649562426,0.996103532450013
115,0.51359,1,0.983901817430611,5.89276936466365e-07,0.0160975932924529
116,0.84877,3,2.82219465911602e-07,0.103375540977763,0.896624176802771
117,0.9264,3,2.36417733521638e-15,4.47300786937484e-08,0.999999955269919
118,0.74549,2,0.00211052364149366,0.950420927388879,0.0474685489696275
119,0.7569,2,0.000906583087511433,0.947248843491991,0.0518445734204972
120,0.72193,2,0.0126490667416937,0.935664815935387,0.0516861173229192
121,0.71046,2,0.0305497546057719,0.909269261708762,0.0601809836854665
122,0.5735,1,0.981891361135593,0.000178854563269235,0.0179297843011376
123,0.7409,2,0.00297849527460653,0.950052763030564,0.0469687416948298
124,0.8468,3,3.80105256796539e-07,0.124425730559651,0.875573889335092
125,0.52798,1,0.984996050437435,2.35821443767513e-06,0.0150015913481278
126,0.52608,1,0.984908515418096,1.96440232678301e-06,0.0150895201795768
127,0.53913,1,0.985184895172514,6.87183003389604e-06,0.0148082329974523
128,0.46663,1,0.969230232270648,6.16274427454647e-09,0.0307697615666081
129,0.77841,2,0.000192577061279904,0.920899911044355,0.0789075118943655
130,0.52076,1,0.984573985927071,1.17695474913837e-06,0.0154248371181797
131,0.54849,1,0.984915886263967,1.67969137372722e-05,0.0150673168222954
132,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
133,0.90777,3,9.36347798828591e-13,7.09342092260764e-06,0.999992906578141
134,0.70362,2,0.0514028884091425,0.881082439474311,0.0675146721165469
135,0.77066,2,0.000334486416007287,0.934449501438277,0.0652160121457162
136,0.65115,1,0.755008486751714,0.159125328674019,0.0858661845742673
137,0.94223,3,3.62489730508766e-18,1.5942545862754e-10,0.999999999840575
138,0.741,2,0.00295614718233083,0.950071203608926,0.0469726492087433
139,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
140,0.55824,1,0.984186796355188,4.24200720651468e-05,0.0157707835727466
141,0.98961,3,2.85244823558752e-38,1.35301951310631e-28,1
142,0.7228,2,0.0118306627839761,0.936943220541646,0.0512261166743778
143,0.73219,2,0.0057635499180857,0.946455024463446,0.0477814256184683
144,0.70995,2,0.0317662129424868,0.907565358604096,0.0606684284534171
145,0.96201,3,4.52391860439818e-23,7.22244528530002e-15,0.999999999999993
146,0.9715,3,1.92138781276673e-26,6.94869932492859e-18,1
147,0.73959,2,0.00328769040730598,0.949766640859993,0.0469456687327015
148,0.55454,1,0.984521508457423,2.98637640293368e-05,0.015448627778548
149,0.90791,3,8.99615583758767e-13,6.86142178992219e-06,0.99999313857731
150,0.67451,2,0.352445039467647,0.543346796684081,0.104208163848272
151,0.88139,3,6.6142366066197e-10,0.00138045068923285,0.998619548649343
152,0.59276,1,0.975632304826768,0.00107373548820557,0.0232939596850263
153,0.53616,1,0.985188225339134,5.17078713805453e-06,0.0148066038737284
154,0.59605,1,0.973915352093759,0.00145360906324542,0.0246310388429955
155,0.75177,2,0.00132286402470659,0.949399732006159,0.0492774039691345
156,0.49896,1,0.981602700040417,1.43035130440401e-07,0.0183971569244528
157,0.58194,1,0.979771528618123,0.000393733268060895,0.0198347381138166
158,0.76636,2,0.000455634172385065,0.939735423273666,0.0598089425539486
159,0.97526,3,4.20088404324616e-28,2.24055521269256e-19,1
160,0.46536,1,0.968410900103695,5.44426960293671e-09,0.0315890944520353
161,0.86341,3,2.39326651467925e-08,0.0196978781550639,0.980302097912271
162,0.53867,1,0.985187956910937,6.57585960222472e-06,0.0148054672294603
163,0.94727,3,3.11794275884491e-19,1.84127798980321e-11,0.999999999981587
164,0.76251,2,0.000602040562359788,0.943407600440369,0.055990358997271
165,0.52299,1,0.984730534873208,1.45902498211674e-06,0.0152680061018102
166,0.47066,1,0.971607159174185,9.1305614935265e-09,0.0283928316952533
167,0.64131,1,0.854806947667447,0.0763609754724678,0.0688320768600853
168,0.62422,1,0.936824520254563,0.0182971964503188,0.0448782832951186
169,0.78977,2,8.63490507225318e-05,0.886943861645694,0.112969789303583
170,0.54102,1,0.985162475825011,8.2335802269455e-06,0.0148292905947616
171,0.76537,2,0.000489392381364337,0.940768571384558,0.0587420362340781
172,0.69011,2,0.13713522776832,0.776727543525402,0.0861372287062788
173,0.61659,1,0.953241103435107,0.00934460555784886,0.0374142910070445
174,0.65509,1,0.700308132007494,0.207371113223521,0.0923207547689846
175,0.44122,1,0.943450561079103,5.10872253153549e-10,0.0565494384100244
176,0.52381,1,0.984782124840125,1.57889696393351e-06,0.0152162962629111
177,0.70264,2,0.0553369898372627,0.875959771974911,0.0687032381878263
178,0.97596,3,1.93441126231919e-28,1.11513271628159e-19,1
179,0.9556,3,3.03811966056089e-21,3.05385436495899e-13,0.999999999999695
180,0.90959,3,5.53698648134816e-13,4.58050498584637e-06,0.99999541949446
181,0.75087,2,0.00141402516658323,0.949653103508119,0.0489328713252979
182,0.64273,1,0.843416399044299,0.0853479061339259,0.0712356948217753
183,0.53133,1,0.985110667591696,3.25355046278078e-06,0.0148860788578416
184,0.48572,1,0.978098834827636,3.95571429054428e-08,0.0219011256152208
185,0.99534,3,1.21583251547627e-47,3.30950337922608e-37,1
186,0.55761,1,0.984249099268877,3.99614074164839e-05,0.0157109393237066
187,0.70544,2,0.0447950130976815,0.889808132885465,0.0653968540168532
188,0.97732,3,4.01106273987971e-29,2.70430523119903e-20,1
189,0.79163,2,7.57242460875633e-05,0.879080809761022,0.12084346599289
190,0.52864,1,0.985022617854811,2.51266720353666e-06,0.0149748694779852
191,0.58748,1,0.977898884808501,0.000658928220118947,0.0214421869713799
192,0.98243,3,4.06436080789688e-32,5.3477246076669e-23,1
193,0.73976,2,0.00324578506655637,0.949808491745785,0.0469457231876591
194,0.80732,2,2.43780119156244e-05,0.769375671131878,0.230599950856206
195,0.78745,2,0.000101696906738979,0.895692168084665,0.104206135008596
196,0.93858,3,1.87565518839362e-17,6.72765858009245e-10,0.999999999327234
197,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
198,0.52571,1,0.984889545284255,1.89570676395469e-06,0.0151085590089806
199,0.70784,2,0.0373227383122451,0.89988991717314,0.0627873445146147
200,0.74131,2,0.00288794924411182,0.950125343607947,0.0469867071479407
201,0.48441,1,0.977656375645381,3.48267719169202e-08,0.0223435895278469
202,0.59997,1,0.97148314678268,0.0020823087853822,0.0264345444319375
203,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
204,0.75253,2,0.00125057670668484,0.949157524618951,0.0495918986743646
205,0.76291,2,0.000584811737649826,0.94306806295181,0.0563471253105406
206,0.77226,2,0.00029830614329395,0.932115828136938,0.0675858657197679
