"observation","map_component","hour","sin_1","cos_1","sin_2","cos_2"
1,"2",0,0,1,0,1
2,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
3,"2",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
4,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
5,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
6,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
7,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
8,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
9,"1",0,0,1,0,1
10,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
11,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
12,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
13,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
14,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
15,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
16,"1",2,0.5,0.866025403784439,0.866025403784439,0.5
17,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
18,"2",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
19,"1",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
20,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
21,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
22,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
23,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
24,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
25,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
26,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
27,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
28,"3",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
29,"2",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
30,"3",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
31,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
32,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
33,"1",0,0,1,0,1
34,"2",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
35,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
36,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
37,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
38,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
39,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
40,"2",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
41,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
42,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
43,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
44,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
45,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
46,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
47,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
48,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
49,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
50,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
51,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
52,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
53,"2",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
54,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
55,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
56,"1",0,0,1,0,1
57,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
58,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
59,"1",0,0,1,0,1
60,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
61,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
62,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
63,"3",2,0.5,0.866025403784439,0.866025403784439,0.5
64,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
65,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
66,"2",0,0,1,0,1
67,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
68,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
69,"2",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
70,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
71,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
72,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
73,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
74,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
75,"2",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
76,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
77,"1",0,0,1,0,1
78,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
79,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
80,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
81,"1",2,0.5,0.866025403784439,0.866025403784439,0.5
82,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
83,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
84,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
85,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
86,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
87,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
88,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
89,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
90,"1",2,0.5,0.866025403784439,0.866025403784439,0.5
91,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
92,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
