"observation","hour","map_component","prob_component_1","prob_component_2","prob_component_3"
1,0,"2",0.372269283894856,0.483036385732548,0.144694330372596
2,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
3,18,"2",0.00407989916343917,0.248416448802589,0.747503652033972
4,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
5,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
6,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
7,23,"2",0.0994959895897134,0.413683629235366,0.486820381174921
8,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
9,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
10,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
11,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
12,23,"2",0.0994959895897134,0.413683629235366,0.486820381174921
13,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
14,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
15,23,"2",0.0994959895897134,0.413683629235366,0.486820381174921
16,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
17,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
18,9,"2",0.773570134385657,0.203414340833268,0.0230155247810753
19,11,"1",0.0344106762975509,0.962997512328702,0.00259181137374703
20,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
21,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
22,10,"2",0.246390787636817,0.740960079220036,0.0126491331431465
23,23,"2",0.0994959895897134,0.413683629235366,0.486820381174921
24,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
25,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
26,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
27,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
28,23,"3",0.0994959895897134,0.413683629235366,0.486820381174921
29,18,"2",0.00407989916343917,0.248416448802589,0.747503652033972
30,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
31,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
32,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
33,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
34,1,"2",0.757679004928895,0.216443111013307,0.0258778840577979
35,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
36,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
37,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
38,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
39,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
40,9,"2",0.773570134385657,0.203414340833268,0.0230155247810753
41,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
42,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
43,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
44,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
45,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
46,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
47,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
48,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
49,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
50,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
51,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
52,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
53,18,"2",0.00407989916343917,0.248416448802589,0.747503652033972
54,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
55,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
56,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
57,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
58,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
59,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
60,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
61,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
62,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
63,2,"3",0.94676830694166,0.0487627743913264,0.00446891866701388
64,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
65,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
66,0,"2",0.372269283894856,0.483036385732548,0.144694330372596
67,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
68,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
69,9,"2",0.773570134385657,0.203414340833268,0.0230155247810753
70,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
71,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
72,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
73,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
74,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
75,18,"2",0.00407989916343917,0.248416448802589,0.747503652033972
76,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
77,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
78,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
79,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
80,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
81,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
82,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
83,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
84,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
85,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
86,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
87,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
88,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
89,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
90,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
91,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
92,10,"2",0.246390787636817,0.740960079220036,0.0126491331431465
93,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
94,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
95,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
96,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
97,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
98,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
99,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
100,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
101,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
102,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
103,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
104,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
105,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
106,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
107,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
108,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
109,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
110,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
111,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
112,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
113,23,"2",0.0994959895897134,0.413683629235366,0.486820381174921
114,17,"3",0.00587412902512925,0.737477973175197,0.256647897799674
115,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
116,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
117,17,"3",0.00587412902512925,0.737477973175197,0.256647897799674
118,23,"2",0.0994959895897134,0.413683629235366,0.486820381174921
119,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
120,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
121,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
122,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
123,18,"2",0.00407989916343917,0.248416448802589,0.747503652033972
124,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
125,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
126,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
127,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
128,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
129,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
130,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
131,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
132,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
133,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
134,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
135,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
136,10,"1",0.246390787636817,0.740960079220036,0.0126491331431465
137,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
138,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
139,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
140,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
141,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
142,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
143,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
144,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
145,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
146,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
147,14,"2",0.00155430437817764,0.997700352994166,0.000745342627656525
148,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
149,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
150,9,"2",0.773570134385657,0.203414340833268,0.0230155247810753
151,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
152,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
153,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
154,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
155,14,"2",0.00155430437817764,0.997700352994166,0.000745342627656525
156,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
157,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
158,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
159,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
160,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
161,2,"3",0.94676830694166,0.0487627743913264,0.00446891866701388
162,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
163,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
164,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
165,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
166,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
167,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
168,10,"1",0.246390787636817,0.740960079220036,0.0126491331431465
169,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
170,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
171,23,"2",0.0994959895897134,0.413683629235366,0.486820381174921
172,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
173,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
174,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
175,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
176,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
177,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
178,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
179,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
180,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
181,23,"2",0.0994959895897134,0.413683629235366,0.486820381174921
182,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
