"hour","map_component","Freq","hour_total","fraction"
0,1,43,81,0.530864197530864
0,2,34,81,0.419753086419753
0,3,4,81,0.0493827160493827
1,1,60,77,0.779220779220779
1,2,9,77,0.116883116883117
1,3,8,77,0.103896103896104
2,1,73,80,0.9125
2,2,0,80,0
2,3,7,80,0.0875
3,1,78,84,0.928571428571429
3,2,6,84,0.0714285714285714
3,3,0,84,0
4,1,89,89,1
4,2,0,89,0
4,3,0,89,0
5,1,82,82,1
5,2,0,82,0
5,3,0,82,0
6,1,82,82,1
6,2,0,82,0
6,3,0,82,0
7,1,78,78,1
7,2,0,78,0
7,3,0,78,0
8,1,92,92,1
8,2,0,92,0
8,3,0,92,0
9,1,59,78,0.756410256410256
9,2,19,78,0.243589743589744
9,3,0,78,0
10,1,17,74,0.22972972972973
10,2,57,74,0.77027027027027
10,3,0,74,0
11,1,2,91,0.021978021978022
11,2,89,91,0.978021978021978
11,3,0,91,0
12,1,1,97,0.0103092783505155
12,2,92,97,0.948453608247423
12,3,4,97,0.0412371134020619
13,1,0,88,0
13,2,86,88,0.977272727272727
13,3,2,88,0.0227272727272727
14,1,0,69,0
14,2,68,69,0.985507246376812
14,3,1,69,0.0144927536231884
15,1,0,72,0
15,2,72,72,1
15,3,0,72,0
16,1,1,90,0.0111111111111111
16,2,89,90,0.988888888888889
16,3,0,90,0
17,1,2,87,0.0229885057471264
17,2,66,87,0.758620689655172
17,3,19,87,0.218390804597701
18,1,0,80,0
18,2,27,80,0.3375
18,3,53,80,0.6625
19,1,0,87,0
19,2,0,87,0
19,3,87,87,1
20,1,0,90,0
20,2,0,90,0
20,3,90,90,1
21,1,0,85,0
21,2,0,85,0
21,3,85,85,1
22,1,0,91,0
22,2,9,91,0.0989010989010989
22,3,82,91,0.901098901098901
23,1,0,76,0
23,2,56,76,0.736842105263158
23,3,20,76,0.263157894736842
