"hour","component","empirical_fraction","predicted_probability"
0,1,0.530864197530864,0.372269283894856
0,2,0.419753086419753,0.483036385732548
0,3,0.0493827160493827,0.144694330372596
1,1,0.779220779220779,0.757679004928895
1,2,0.116883116883117,0.216443111013307
1,3,0.103896103896104,0.0258778840577979
2,1,0.9125,0.94676830694166
2,2,0,0.0487627743913264
2,3,0.0875,0.00446891866701388
3,1,0.928571428571429,0.989022177668677
3,2,0.0714285714285714,0.00968469416339992
3,3,0,0.00129312816792258
4,1,1,0.996562021801504
4,2,0,0.00264834347000784
4,3,0,0.000789634728488004
5,1,1,0.99766516491829
5,2,0,0.00136075247604319
5,3,0,0.000974082605667028
6,1,1,0.996411245219544
6,2,0,0.00159376011288139
6,3,0,0.00199499466757465
7,1,1,0.990360390081249
7,2,0,0.0044422412325017
7,3,0,0.00519736868624962
8,1,1,0.961127664523373
8,2,0,0.0257363926592165
8,3,0,0.0131359428174104
9,1,0.756410256410256,0.773570134385657
9,2,0.243589743589744,0.203414340833268
9,3,0,0.0230155247810753
10,1,0.22972972972973,0.246390787636817
10,2,0.77027027027027,0.740960079220036
10,3,0,0.0126491331431465
11,1,0.021978021978022,0.0344106762975509
11,2,0.978021978021978,0.962997512328702
11,3,0,0.00259181137374703
12,1,0.0103092783505155,0.00629790195626397
12,2,0.948453608247423,0.99300769255413
12,3,0.0412371134020619,0.000694405489606138
13,1,0,0.00220729446131466
13,2,0.977272727272727,0.997363276046115
13,3,0.0227272727272727,0.000429429492569945
14,1,0,0.00155430437817764
14,2,0.985507246376812,0.997700352994166
14,3,0.0144927536231884,0.000745342627656525
15,1,0,0.00196692671938955
15,2,1,0.994632174807594
15,3,0,0.00340089847301619
16,1,0.0111111111111111,0.0035614190546116
16,2,0.988888888888889,0.966673468821078
16,3,0,0.0297651121243107
17,1,0.0229885057471264,0.00587412902512925
17,2,0.758620689655172,0.737477973175197
17,3,0.218390804597701,0.256647897799674
18,1,0,0.00407989916343917
18,2,0.3375,0.248416448802589
18,3,0.6625,0.747503652033972
19,1,0,0.00205657926372036
19,2,0,0.0707749505782095
19,3,1,0.92716847015807
20,1,0,0.00188079640431833
20,2,0,0.0423312459410136
20,3,1,0.955787957654668
21,1,0,0.00399946593837372
21,2,0,0.0612012845556356
21,3,1,0.934799249505991
22,1,0,0.0177219133481277
22,2,0.0989010989010989,0.162782674427026
22,3,0.901098901098901,0.819495412224847
23,1,0,0.0994959895897134
23,2,0.736842105263158,0.413683629235366
23,3,0.263157894736842,0.486820381174921
